        Time / s                E-Field (0 0 2)_1(X) [1]/real
          3.5952292e-009                      0.14297024
          3.5969029e-009                      0.13534163
          3.5985767e-009                      0.12295831
          3.6002504e-009                      0.10732217
          3.6019242e-009                     0.090075318
          3.6035979e-009                     0.072811258
          3.6052717e-009                     0.056899306
          3.6069455e-009                     0.043344183
          3.6086192e-009                     0.032696394
           3.610293e-009                     0.025022314
          3.6119667e-009                     0.019935675
          3.6136405e-009                     0.016683986
          3.6153142e-009                     0.014277382
           3.616988e-009                     0.011648394
          3.6186617e-009                    0.0078247632
          3.6203355e-009                    0.0020897825
          3.6220093e-009                   -0.0058963981
           3.623683e-009                    -0.016029676
          3.6253568e-009                    -0.027752595
          3.6270305e-009                    -0.040105037
          3.6287043e-009                    -0.051834018
           3.630378e-009                    -0.061551425
          3.6320518e-009                     -0.06791344
          3.6337256e-009                    -0.069798709
          3.6353993e-009                    -0.066471573
          3.6370731e-009                    -0.057713551
          3.6387468e-009                    -0.043898043
          3.6404206e-009                    -0.025986252
          3.6420943e-009                   -0.0054472094
          3.6437681e-009                     0.015877202
          3.6454419e-009                     0.035944945
          3.6471156e-009                     0.052719186
          3.6487894e-009                     0.064392712
          3.6504631e-009                     0.069596324
          3.6521369e-009                     0.067555063
          3.6538106e-009                     0.058174911
          3.6554844e-009                     0.042060667
          3.6571582e-009                     0.020466893
          3.6588319e-009                   -0.0048211872
          3.6605057e-009                    -0.031670226
          3.6621794e-009                    -0.057820092
          3.6638532e-009                    -0.081113455
          3.6655269e-009                    -0.099709267
          3.6672007e-009                     -0.11226111
          3.6688744e-009                      -0.1180406
          3.6705482e-009                     -0.11699089
           3.672222e-009                     -0.10970461
          3.6738957e-009                    -0.097331694
          3.6755695e-009                    -0.081430573
          3.6772432e-009                    -0.063780685
           3.678917e-009                    -0.046180671
          3.6805907e-009                    -0.030256769
          3.6822645e-009                     -0.01730076
          3.6839383e-009                   -0.0081531688
           3.685612e-009                   -0.0031466462
          3.6872858e-009                   -0.0021197937
          3.6889595e-009                   -0.0044942417
          3.6906333e-009                   -0.0093950662
           3.692307e-009                    -0.015793471
          3.6939808e-009                    -0.022658638
          3.6956546e-009                    -0.029105197
          3.6973283e-009                     -0.03451312
          3.6990021e-009                     -0.03859644
          3.7006758e-009                    -0.041411049
          3.7023496e-009                    -0.043309541
          3.7040233e-009                    -0.044854415
          3.7056971e-009                    -0.046698815
          3.7073708e-009                    -0.049447866
          3.7090446e-009                    -0.053522592
          3.7107184e-009                    -0.059051627
          3.7123921e-009                    -0.065807633
          3.7140659e-009                    -0.073195268
          3.7157396e-009                    -0.080293048
          3.7174134e-009                     -0.08594781
          3.7190871e-009                    -0.088911111
          3.7207609e-009                    -0.087998211
          3.7224347e-009                    -0.082249476
          3.7241084e-009                    -0.071075388
          3.7257822e-009                    -0.054366436
          3.7274559e-009                    -0.032547923
          3.7291297e-009                   -0.0065668382
          3.7308034e-009                     0.022187734
          3.7324772e-009                       0.0520157
           3.734151e-009                     0.081072432
          3.7358247e-009                       0.1075567
          3.7374985e-009                      0.12990297
          3.7391722e-009                      0.14695362
           3.740846e-009                      0.15808381
          3.7425197e-009                      0.16326029
          3.7441935e-009                      0.16302843
          3.7458673e-009                      0.15843383
           3.747541e-009                      0.15088996
          3.7492148e-009                      0.14200612
          3.7508885e-009                      0.13339306
          3.7525623e-009                      0.12646782
           3.754236e-009                      0.12228366
          3.7559098e-009                      0.12140976
          3.7575835e-009                      0.12387755
          3.7592573e-009                      0.12919638
          3.7609311e-009                      0.13643088
          3.7626048e-009                      0.14432857
          3.7642786e-009                      0.15148505
          3.7659523e-009                      0.15652971
          3.7676261e-009                      0.15830716
          3.7692998e-009                       0.1560267
          3.7709736e-009                      0.14935937
          3.7726474e-009                      0.13847331
          3.7743211e-009                      0.12400638
          3.7759949e-009                      0.10698101
          3.7776686e-009                     0.088671997
          3.7793424e-009                     0.070444561
          3.7810161e-009                     0.053584412
          3.7826899e-009                     0.039140631
          3.7843637e-009                      0.02780002
          3.7860374e-009                     0.019810627
          3.7877112e-009                      0.01496687
          3.7893849e-009                     0.012655499
          3.7910587e-009                     0.011951267
          3.7927324e-009                     0.011747169
          3.7944062e-009                     0.010903483
          3.7960799e-009                    0.0084002436
          3.7977537e-009                     0.003472873
          3.7994275e-009                   -0.0042918741
          3.8011012e-009                    -0.014913017
           3.802775e-009                    -0.028027062
          3.8044487e-009                    -0.042948317
          3.8061225e-009                     -0.05876776
          3.8077962e-009                    -0.074478828
            3.80947e-009                    -0.089114236
          3.8111438e-009                     -0.10187462
          3.8128175e-009                     -0.11222887
          3.8144913e-009                     -0.11997261
           3.816165e-009                      -0.1252369
          3.8178388e-009                     -0.12844774
          3.8195125e-009                     -0.13024542
          3.8211863e-009                     -0.13137357
          3.8228601e-009                     -0.13255269
          3.8245338e-009                     -0.13435406
          3.8262076e-009                     -0.13709386
          3.8278813e-009                     -0.14076581
          3.8295551e-009                     -0.14502342
          3.8312288e-009                     -0.14921255
          3.8329026e-009                     -0.15244846
          3.8345763e-009                     -0.15373021
          3.8362501e-009                     -0.15207889
          3.8379239e-009                     -0.14668386
          3.8395976e-009                     -0.13703637
          3.8412714e-009                     -0.12303036
          3.8429451e-009                     -0.10501597
          3.8446189e-009                    -0.083796261
          3.8462926e-009                    -0.060566118
          3.8479664e-009                    -0.036800434
          3.8496402e-009                    -0.014106069
          3.8513139e-009                    0.0059469516
          3.8529877e-009                     0.021996917
          3.8546614e-009                     0.033046901
          3.8563352e-009                     0.038586381
          3.8580089e-009                      0.03865787
