        Time / s                signal1/real
          1.1674486e-010                      0.20310615
          1.1721944e-010                      0.20818815
          1.1769402e-010                      0.21335612
          1.1816859e-010                      0.21861002
          1.1864316e-010                      0.22395019
          1.1911773e-010                      0.22937638
          1.1959231e-010                      0.23488884
          1.2006687e-010                      0.24048717
          1.2054145e-010                      0.24617159
          1.2101602e-010                      0.25194153
           1.214906e-010                      0.25779712
          1.2196517e-010                      0.26373789
          1.2243974e-010                      0.26976326
          1.2291432e-010                      0.27587321
          1.2338888e-010                      0.28206691
          1.2386346e-010                      0.28834417
          1.2433803e-010                      0.29470405
           1.248126e-010                      0.30114621
          1.2528717e-010                      0.30766964
          1.2576175e-010                      0.31427386
          1.2623633e-010                      0.32095787
          1.2671089e-010                      0.32772058
          1.2718547e-010                      0.33456135
          1.2766004e-010                      0.34147879
          1.2813461e-010                      0.34847218
          1.2860918e-010                      0.35553992
          1.2908376e-010                      0.36268121
          1.2955834e-010                       0.3698945
           1.300329e-010                      0.37717822
          1.3050748e-010                      0.38453132
          1.3098204e-010                      0.39195186
          1.3145662e-010                      0.39943871
          1.3193119e-010                      0.40698975
          1.3240577e-010                      0.41460371
          1.3288035e-010                      0.42227858
          1.3335491e-010                      0.43001226
          1.3382949e-010                      0.43780327
          1.3430405e-010                      0.44564915
          1.3477863e-010                      0.45354828
           1.352532e-010                      0.46149811
          1.3572778e-010                      0.46949685
          1.3620234e-010                      0.47754177
          1.3667692e-010                      0.48563102
           1.371515e-010                      0.49376193
          1.3762606e-010                      0.50193185
          1.3810064e-010                      0.51013869
          1.3857521e-010                      0.51837933
          1.3904979e-010                      0.52665168
          1.3952435e-010                      0.53495252
          1.3999893e-010                      0.54327953
          1.4047349e-010                      0.55162936
          1.4094807e-010                      0.55999964
          1.4142265e-010                      0.56838721
          1.4189722e-010                      0.57678878
          1.4237179e-010                       0.5852018
          1.4284636e-010                      0.59362262
          1.4332094e-010                      0.60204864
           1.437955e-010                      0.61047614
          1.4427008e-010                      0.61890233
          1.4474466e-010                      0.62732375
          1.4521923e-010                       0.6357367
           1.456938e-010                      0.64413834
          1.4616837e-010                      0.65252477
          1.4664295e-010                      0.66089308
          1.4711751e-010                      0.66923916
          1.4759209e-010                      0.67756009
          1.4806667e-010                      0.68585205
          1.4854123e-010                      0.69411123
          1.4901581e-010                      0.70233446
          1.4949038e-010                       0.7105177
          1.4996496e-010                      0.71865779
          1.5043952e-010                      0.72675055
           1.509141e-010                      0.73479277
          1.5138867e-010                      0.74278033
          1.5186324e-010                      0.75071001
          1.5233782e-010                      0.75857788
          1.5281239e-010                      0.76638001
          1.5328697e-010                      0.77411312
          1.5376153e-010                      0.78177309
          1.5423611e-010                      0.78935665
          1.5471067e-010                      0.79685968
          1.5518525e-010                      0.80427897
          1.5565982e-010                       0.8116104
           1.561344e-010                      0.81885076
          1.5660898e-010                      0.82599622
          1.5708354e-010                      0.83304292
          1.5755812e-010                      0.83998781
          1.5803268e-010                      0.84682691
          1.5850726e-010                      0.85355699
          1.5898183e-010                      0.86017436
          1.5945641e-010                      0.86667579
          1.5993099e-010                      0.87305784
          1.6040555e-010                      0.87931693
          1.6088013e-010                      0.88545007
          1.6135469e-010                      0.89145362
          1.6182927e-010                      0.89732486
          1.6230384e-010                       0.9030602
          1.6277842e-010                      0.90865695
          1.6325299e-010                      0.91411185
          1.6372756e-010                      0.91942179
          1.6420214e-010                      0.92458421
           1.646767e-010                      0.92959595
          1.6515128e-010                      0.93445462
          1.6562585e-010                      0.93915719
          1.6610043e-010                      0.94370133
          1.6657499e-010                      0.94808424
          1.6704957e-010                      0.95230377
          1.6752415e-010                      0.95635742
          1.6799871e-010                      0.96024275
          1.6847329e-010                      0.96395791
          1.6894786e-010                      0.96750045
          1.6942243e-010                      0.97086871
            1.69897e-010                      0.97406048
          1.7037158e-010                      0.97707421
          1.7084614e-010                      0.97990793
          1.7132072e-010                      0.98256028
           1.717953e-010                      0.98502952
          1.7226987e-010                      0.98731434
          1.7274444e-010                      0.98941344
          1.7321901e-010                       0.9913255
          1.7369359e-010                      0.99304962
          1.7416815e-010                      0.99458462
          1.7464273e-010                      0.99592972
          1.7511731e-010                      0.99708408
          1.7559187e-010                      0.99804705
          1.7606645e-010                      0.99881816
          1.7654102e-010                      0.99939686
           1.770156e-010                       0.9997828
          1.7749016e-010                      0.99997586
          1.7796474e-010                      0.99997586
